name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Corynebacterium testudinoris	136857	S	10	0	54	0	0	6	32	0	10	0	8	17	0	0	0
Corynebacterium aquilae	203263	S	10	0	47	6	0	6	32	0	0	0	0	18	0	0	0
Corynebacterium ammoniagenes	1697	S	9	14	36	0	7	13	84	0	0	0	0	5	0	0	0
Corynebacterium mustelae	571915	S	9	0	18	0	0	8	15	0	0	0	0	0	0	0	0
Corynebacterium incognita	2754725	S	9	8	97	0	8	18	115	0	0	0	5	28	7	6	0
Corynebacterium hindlerae	699041	S	9	0	43	0	9	0	22	0	0	0	0	21	9	5	0
Corynebacterium glaucum	187491	S	9	30	219	22	15	67	163	0	14	6	5	21	10	10	0
Corynebacterium liangguodongii	2079535	S	9	10	69	0	11	20	67	0	0	5	12	18	9	0	0
Corynebacterium uterequi	1072256	S	9	0	66	0	0	0	19	0	0	0	0	17	0	0	0
Corynebacterium durum	61592	S	9	61	465	5	43	203	489	5	0	0	5	20	183	22	0
Corynebacterium ulcerans	65058	S	11	6	27	0	10	0	18	0	6	0	0	9	0	8	0
Corynebacterium argentoratense	42817	S	8	0	29	9	7	7	36	0	0	0	0	16	0	7	0
Corynebacterium pseudopelargi	2080757	S	7	0	19	0	0	0	21	0	5	0	0	7	0	0	0
Corynebacterium kalinowskii	2675216	S	7	0	44	0	12	7	33	0	0	0	0	12	0	0	0
Corynebacterium deserti	1408191	S	7	31	29	0	0	16	15	0	0	0	0	0	0	8	0
Corynebacterium xerosis	1725	S	7	106	131	0	48	169	317	0	7	0	19	9	0	8	0
Corynebacterium qintianiae	2709392	S	7	12	85	6	5	20	145	0	0	0	0	11	0	0	0
Corynebacterium lujinxingii	2763010	S	7	85	258	9	29	112	432	0	0	5	0	9	44	10	0
Corynebacterium atrinae	1336740	S	6	8	60	5	6	0	29	0	0	0	0	26	5	0	0
Corynebacterium faecale	1758466	S	6	0	48	5	5	12	20	0	0	0	0	15	5	0	0
Corynebacterium yudongzhengii	2080740	S	5	7	51	0	9	6	24	0	0	0	0	12	0	0	0
Corynebacterium kutscheri	35755	S	5	10	32	0	0	0	0	0	0	0	0	0	6	0	0
Mycolicibacterium frederiksbergense	117567	S	132	19	78	0	27	87	160	0	0	0	38	0	95	0	0
Mycolicibacterium sediminis	1286180	S	38	17	42	0	0	59	77	0	0	0	16	18	0	0	0
Mycolicibacterium moriokaense	39691	S	19	24	27	0	0	29	49	0	0	0	20	29	0	0	0
Mycolicibacterium vaccae	1810	S	16	13	8	0	0	9	35	0	0	0	13	0	0	0	0
Mycolicibacterium aurum	1791	S	12	0	19	0	0	33	42	0	0	0	11	0	7	0	0
